1000,8935,9113,16881,4276
5000,77786,58479,95350,32675
10000,91258,93372,202593,69132
100000,1113170,1128434,1895761,682760
250000,2666249,3051501,4972394,1894706
400000,6264040,6647237,16942160,2792590
600000,7151581,9213992,13112054,5384053
800000,9438435,12266314,38214245,17248527
1000000,25284556,24694640,34996663,8836251
